"date","music","love","party","location","book"
"2016-11-13",4602416.88813632,5149818.32549178,3903628.1992596,"berlin","no_book"
"2016-11-14",4524265.61954404,4995404.15118589,3049175.6593838,"berlin","no_book"
"2016-11-15",4213008.13018591,4292234.67180654,3359948.14796469,"berlin","no_book"
"2016-11-16",3750044.28599058,4296169.40053716,3284530.7505412,"berlin","no_book"
"2016-11-17",3268391.11387769,4679850.10720249,3277665.82858749,"berlin","no_book"
"2016-11-18",3904098.24892329,4916606.53286394,4213031.45816517,"berlin","no_book"
"2016-11-19",4607005.54456165,6007506.26151037,4995926.40681,"berlin","no_book"
"2016-11-20",3905158.65169642,4996293.35004764,3353379.80485875,"berlin","no_book"
"2016-11-21",5067544.00203803,4533328.88354571,2737097.05750455,"berlin","no_book"
"2016-11-22",3831938.83201256,4448793.87659019,2887846.9264284,"berlin","no_book"
"2016-11-23",3517659.03851929,4137145.30292907,2814319.49279759,"berlin","no_book"
"2016-11-24",3666235.82232255,4456220.72271829,3040400.34600059,"berlin","no_book"
"2016-11-25",4221180.79645927,4915054.43250351,3671228.27271706,"berlin","no_book"
"2016-11-26",4447949.8672207,4915811.55274456,4917389.3280546,"berlin","no_book"
"2016-11-27",4136848.29779086,4292954.24416084,3353037.89961792,"berlin","no_book"
"2016-11-28",2963038.14856896,4523428.04876587,3503298.06176197,"berlin","no_book"
"2016-11-29",2965605.76081025,4526776.35085987,2577395.23600869,"berlin","no_book"
"2016-11-30",3280428.2398345,4683140.94075915,3047948.46022572,"berlin","no_book"
"2016-12-01",3038649.24919472,4988919.39983092,2809668.31458885,"berlin","no_book"
"2016-12-02",3984974.11154554,4759152.66035154,3590401.41406313,"berlin","no_book"
"2016-12-03",4454331.41595935,4921009.10817487,4215019.85537031,"berlin","no_book"
"2016-12-04",4688700.29492411,5227114.82132086,3977942.32225926,"berlin","no_book"
"2016-12-05",3503668.68275759,4300706.87702976,2416994.80677761,"berlin","no_book"
"2016-12-06",3128005.79838796,4374627.64308143,3120680.5884004,"berlin","no_book"
"2016-12-07",3201735.25494464,4605669.77970348,2265438.77145188,"berlin","no_book"
"2016-12-08",3198092.47823605,5080796.47307303,3126004.2935242,"berlin","no_book"
"2016-12-09",4217473.38170921,4997739.01573066,3670102.76566006,"berlin","no_book"
"2016-12-10",4291982.53618232,5387365.85040457,5465978.77655539,"berlin","no_book"
"2016-12-11",4059501.09841656,6480131.52781579,3588565.46358769,"berlin","no_book"
"2016-09-13",1251274.16305729,1962565.29839228,391670.45554483,"france","no_book"
"2016-09-14",1479856.88813632,2027258.32549178,390748.199259605,"france","no_book"
"2016-09-15",1401705.61954404,2185100.15118589,394999.659383802,"france","no_book"
"2016-09-16",1636896.13018591,2028378.67180654,471580.147964692,"france","no_book"
"2016-09-17",2110700.28599058,2656825.40053716,552290.7505412,"france","no_book"
"2016-09-18",1629047.11387769,2650186.10720249,623489.82858749,"france","no_book"
"2016-09-19",1406050.24892329,1872110.53286394,465959.458165168,"france","no_book"
"2016-09-20",1406381.54456165,1870114.26151037,390150.406810004,"france","no_book"
"2016-09-21",1407110.65169642,2107925.35004764,465011.804858745,"france","no_book"
"2016-09-22",1398536.00203803,1957216.88354571,395177.057504554,"france","no_book"
"2016-09-23",1490018.83201256,2184937.87659019,467862.926428402,"france","no_book"
"2016-09-24",1956379.03851929,2731993.30292907,550463.492797588,"france","no_book"
"2016-09-25",1714635.82232255,2582684.72271829,542352.346000586,"france","no_book"
"2016-09-26",1567004.79645927,1870558.43250351,470604.272717056,"france","no_book"
"2016-09-27",1403453.8672207,1871315.55274456,389677.328054601,"france","no_book"
"2016-09-28",1560736.29779086,1951034.24416084,386605.899617923,"france","no_book"
"2016-09-29",1479822.14856896,1869252.04876587,458802.061761968,"france","no_book"
"2016-09-30",1638517.76081025,2028728.35085987,469667.236008692,"france","no_book"
"2016-10-01",2109468.2398345,2575412.94075915,549900.460225724,"france","no_book"
"2016-10-02",1867689.24919472,2412807.39983092,545812.314588847,"france","no_book"
"2016-10-03",1330798.11154554,1714656.66035154,389777.414063133,"france","no_book"
